mass,ctau
0.1,2718949.9685879
0.10098280385676105,2589184.372505881
0.10197526674773073,2465612.1389781763
0.10297748360226981,2347937.667380735
0.1039895502827084,2235879.466234278
0.10501156359351531,2129169.4797332925
0.10604362129055746,2027552.4464241262
0.10708582209045013,1930785.285019072
0.10813826567999937,1838636.4562127807
0.10920105272573691,1750885.307832229
0.11027428488354911,1667321.4977574875
0.11135806480840028,1587744.4847574108
0.1124524961641517,1511963.0713054717
0.11355768363347706,1439794.9864570186
0.1146737329278754,1371066.499615285
0.11580075079778242,1305612.0582644788
0.11693884504278126,1243273.944530242
0.11808812452191354,1183901.9468223036
0.11924869916409168,1127353.0438933894
0.12042067997861376,1073491.0994733372
0.12160417906578147,1022186.5662583974
0.12279930962762257,973316.1984946055
0.12400618597871879,926762.7727253262
0.1252249235571399,882414.8165045304
0.12645563893548556,840166.3450318368
0.12769844983203535,799916.605761287
0.12895347512200867,761569.8310877538
0.13022083484893515,725034.9992346956
0.1315006502361369,690225.6034636932
0.1327930436983235,657059.4297071435
0.13409813885330105,625458.3426961175
0.13541606053379607,594489.4805647933
0.1367469347993961,554283.926752085
0.13809088894860705,506041.26580468786
0.13944805153102957,454607.29367343517
0.1408185523596547,398170.47738532897
0.14220252252328044,336055.0354793041
0.14360009439905075,278259.60395325447
0.1450114016651171,228805.38868154804
0.14643657931342513,188291.30819788476
0.14787576366262645,155762.1747590071
0.1493290923711176,129816.68974403224
0.1507967044502072,109101.85975158444
0.1522787402774124,92477.77631409644
0.15377534160988593,79039.00016459903
0.1552866515979754,68085.15794731176
0.15681281479891535,59080.157842446526
0.15835397719065467,51614.442214077695
0.15991028618581893,45374.23094359911
0.16148189064581078,40117.79827961837
0.1630689408950485,35657.63142677962
0.16467158873534438,31847.155979477855
0.16628998746042506,28570.88754322457
0.16792429187059357,25737.113360214902
0.16957465828753643,23272.430823269617
0.1712412445692757,21117.648093045766
0.17292421012526815,19224.686589271143
0.1746237159316529,17554.22384574678
0.17633992454664862,16073.886680324553
0.1780730001261026,14756.856083418277
0.17982310843919205,13580.782249670472
0.18159041688428001,12526.934873826911
0.18337509450492723,11579.533160284296
0.18517731200606086,10725.21406150335
0.18699724177030286,9952.607555968998
0.18883505787445815,9251.995359045693
0.19069093610616528,8615.03508056779
0.19256505398071044,8034.5360361072935
0.19445759075800687,7504.276067312833
0.19636872745974115,7018.851105881626
0.19829864688668808,6573.551024845769
0.2002475336361954,6164.2567049303625
0.20221557411984084,5787.354308942158
0.20420295658126209,5439.663581677578
0.20620987111416286,5118.37763464901
0.2082365096804948,4821.01217721672
0.2102830661288193,4545.362550867804
0.21234973621284878,4289.467234859173
0.2144367176101705,4051.576705621025
0.21654420994115509,3830.1268081100434
0.2186724147880495,3623.715991509217
0.22082153571425894,3431.085697162592
0.2229917782838177,3251.1034190034798
0.22518335008105103,3082.74803727147
0.22739646073043138,2925.0970871838795
0.2296313219166282,2777.315678707707
0.23188814740475616,2638.646829042316
0.2341671530608219,2508.403007126042
0.23646855687237114,2385.9587207600903
0.23879257896934003,2270.7440029494105
0.24113944164510986,2162.238675738727
0.24350936937777004,2059.9672879423197
0.24590258885158928,1963.4946383559611
0.24831932897869793,1872.4218088073308
0.2507598209209838,1786.3826421633019
0.2532242981122023,1705.0406095079977
0.2557129962803051,1628.0860184124767
0.2582261534699872,1555.2335207642939
0.2607640100654559,1486.2198842007606
0.263326808813424,1420.8019959495373
0.26591479484632813,1358.7550719530325
0.26852821570577606,1299.8710476458702
0.271167321366224,1243.95712975696
0.2738323642588869,1190.834491093614
0.2765235992958832,1140.3370924973897
0.27924128389461755,1092.3106180919733
0.281985678002403,1046.611511616711
0.28475704412132435,1003.1061030923415
0.2875556473333475,961.6698163294609
0.2903817553256739,922.1864488920252
0.293235638416345,884.5475170900623
0.2961175695800987,848.6516594171229
0.299027824474479,814.4040925852061
0.3019666814662028,781.7161149567382
0.30493442165778606,750.5046527419105
0.3079313289144307,720.6918448303086
0.31095768989117734,692.2046625672044
0.31401379406032287,664.9745611747973
0.3170999337391094,638.9371598633913
0.3202164041176841,614.0319479829326
0.3233635032873342,590.2020148361105
0.32654153226899985,567.3938010147764
0.32975079504206617,545.5568693353392
0.3329915985734398,524.6436936392654
0.3362642528469098,504.6094638946654
0.3395690708927979,485.4119061865515
0.3429063688179001,467.0111163188854
0.34627646583572164,449.36940587281674
0.34967968429701096,432.4511596741612
0.3531163497205918,416.2227037206706
0.3565867908244996,400.65218270713643
0.36009133955742334,385.7094463650933
0.3636303311304562,371.36594390468247
0.36720410404915926,357.5946259100433
0.3708130001459392,344.36985309715214
0.37445736461274487,331.66731139495187
0.3781375460340848,319.4639328575776
0.3818538964203693,307.7378219579348
0.385606771241581,296.468186851333
0.389396529461275,285.63527523273245
0.39322353357091405,275.22031444275416
0.39708814962454103,265.2054555063103
0.4009907472737922,255.5737208137887
0.40493169980325394,246.30895517845016
0.4089113841661684,237.39578002527654
0.41293018102048845,228.81955048620242
0.41698847476528816,220.56631519458014
0.42108665357753056,212.6227785881171
0.42522510944919656,204.97626554446322
0.42940423822477963,197.6146881873003
0.43362443963914815,190.52651471328377
0.43788611735578015,183.7007401016323
0.4421896790053739,177.12685857864193
0.44653553622483816,170.79483771901724
0.45092410469666444,164.6950940747272
0.4553558041886885,158.8184702301862
0.45983105859424017,153.15621319000806
0.4643502959726895,147.6999540124061
0.46891394859039054,142.44168860761266
0.4735224529620274,137.37375962647832
0.4781762498923677,132.48883936974602
0.48287578451842517,127.77991365341353
0.4876215063520374,123.24026657013249
