mass,hepmc_avgdecpos,hepmc_avgctau,madspin_autoctau,VeN1,process,SampleY
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.3621555920613357e+17,230006895472579.88,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.569992202808488e+17,243860612761555.62,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.569992202808488e+17,243860612761555.62,196404912808393.3,1e-06,CCDY_eev,0
0.1,5.606149837122504e+17,232618398840615.28,196404912808393.3,1e-06,CCDY_eev,0
1.0,275359165853.6608,612545284.2936301,638106040.7759647,1e-06,CCDY_eev,7
10.0,210080.9826070456,3400.6838900858843,3947.0370237110064,1e-06,CCDY_eev,14
0.1,5.606149837122504e+17,232618398840615.28,196404912808393.3,1e-06,CCDY_eev,0
0.1,9.068372704614678e+17,286172547028370.4,196404912808393.3,1e-06,CCDY_eev,0
0.1,9.068372704614678e+17,286172547028370.4,196404912808393.3,1e-06,CCDY_eev,0
0.1,9.101112941744238e+17,269611727658022.6,196404912808393.3,1e-06,CCDY_eev,0
